Date,AveragePrice,TotalVolume
2017-01-01,0.89,7175276.66
2018-03-25,1.04,6687009.44
2018-03-18,1.02,6802084.11
2018-03-11,1.11,6488605.43
2018-03-04,1.13,6295529.61
2018-02-25,1.03,6750361.46
2018-02-18,1.1,6379219.83
2018-02-11,0.98,6718358.1
2018-02-04,0.8,10894677.77
2018-01-28,1.16,6134040.58
2018-01-21,1.12,6610010.64
2018-01-14,1.27,5927016.73
2018-01-07,1.19,5756632.36
